Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Ad strength,Comment
SZ_Search_BayArea_Core,Near Me Repair,Responsive search ad,rebuild_v1_primary,Sub-Zero Repair Near Me,,Sub-Zero Service You Trust,,Experienced Fridge Specialists,,Reliable Local Repair Team,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Book Sub-Zero service in under a minute and choose a convenient Bay Area arrival window.,,"Our technician diagnoses first, explains options clearly, and repairs only with approval.",,"Get reliable in-home repair for cooling, ice, leak, and door issues across Bay Area.",,Call now or book online for same-day or next-day Sub-Zero service.,,sub-zero,near-me-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Primary trust-focused RSA
SZ_Search_BayArea_Core,Near Me Repair,Responsive search ad,rebuild_v1_urgency_test,Sub-Zero Repair Near Me,,Need Help Today? Book Now,,Technician Arrives Same Day,,Emergency Slots Open Now,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Need fast help? Request same-day Sub-Zero service and get a confirmed arrival window.,,"Local tech visits fast, diagnoses quickly, and starts repair after your approval.",,"We handle urgent cooling, ice maker, leak, and freezer issues across Bay Area.",,Book online in 60 seconds or call now to secure the next open slot.,,sub-zero,near-me-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Urgency angle RSA test
SZ_Search_BayArea_Core,Near Me Repair,Responsive search ad,rebuild_v1_price_test,Sub-Zero Repair Near Me,,"Upfront Pricing, No Surprises",,Diagnosis Before Any Repair,,Approve Repair Before Work,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,"Transparent process: diagnosis first, clear quote second, repair only with approval.",,No hidden charges. You get upfront pricing and warranty on completed repair work.,,Compare options after diagnosis and choose what fits your budget and urgency.,,Schedule Sub-Zero service today and get a clear quote before any repair begins.,,sub-zero,near-me-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Price clarity RSA test
SZ_Search_BayArea_Core,Refrigerator Repair,Responsive search ad,rebuild_v1_primary,Sub-Zero Fridge Repair,,Sub-Zero Service You Trust,,Experienced Fridge Specialists,,Reliable Local Repair Team,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Book Sub-Zero service in under a minute and choose a convenient Bay Area arrival window.,,"Our technician diagnoses first, explains options clearly, and repairs only with approval.",,"Get reliable in-home repair for cooling, ice, leak, and door issues across Bay Area.",,Call now or book online for same-day or next-day Sub-Zero service.,,sub-zero,fridge-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Primary trust-focused RSA
SZ_Search_BayArea_Core,Refrigerator Repair,Responsive search ad,rebuild_v1_urgency_test,Sub-Zero Fridge Repair,,Need Help Today? Book Now,,Technician Arrives Same Day,,Emergency Slots Open Now,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Need fast help? Request same-day Sub-Zero service and get a confirmed arrival window.,,"Local tech visits fast, diagnoses quickly, and starts repair after your approval.",,"We handle urgent cooling, ice maker, leak, and freezer issues across Bay Area.",,Book online in 60 seconds or call now to secure the next open slot.,,sub-zero,fridge-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Urgency angle RSA test
SZ_Search_BayArea_Core,Refrigerator Repair,Responsive search ad,rebuild_v1_price_test,Sub-Zero Fridge Repair,,"Upfront Pricing, No Surprises",,Diagnosis Before Any Repair,,Approve Repair Before Work,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,"Transparent process: diagnosis first, clear quote second, repair only with approval.",,No hidden charges. You get upfront pricing and warranty on completed repair work.,,Compare options after diagnosis and choose what fits your budget and urgency.,,Schedule Sub-Zero service today and get a clear quote before any repair begins.,,sub-zero,fridge-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Price clarity RSA test
SZ_Search_BayArea_Core,Freezer Repair,Responsive search ad,rebuild_v1_primary,Sub-Zero Freezer Repair,,Sub-Zero Service You Trust,,Experienced Fridge Specialists,,Reliable Local Repair Team,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Book Sub-Zero service in under a minute and choose a convenient Bay Area arrival window.,,"Our technician diagnoses first, explains options clearly, and repairs only with approval.",,"Get reliable in-home repair for cooling, ice, leak, and door issues across Bay Area.",,Call now or book online for same-day or next-day Sub-Zero service.,,sub-zero,freezer-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Primary trust-focused RSA
SZ_Search_BayArea_Core,Freezer Repair,Responsive search ad,rebuild_v1_urgency_test,Sub-Zero Freezer Repair,,Need Help Today? Book Now,,Technician Arrives Same Day,,Emergency Slots Open Now,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Need fast help? Request same-day Sub-Zero service and get a confirmed arrival window.,,"Local tech visits fast, diagnoses quickly, and starts repair after your approval.",,"We handle urgent cooling, ice maker, leak, and freezer issues across Bay Area.",,Book online in 60 seconds or call now to secure the next open slot.,,sub-zero,freezer-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Urgency angle RSA test
SZ_Search_BayArea_Core,Freezer Repair,Responsive search ad,rebuild_v1_price_test,Sub-Zero Freezer Repair,,"Upfront Pricing, No Surprises",,Diagnosis Before Any Repair,,Approve Repair Before Work,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,"Transparent process: diagnosis first, clear quote second, repair only with approval.",,No hidden charges. You get upfront pricing and warranty on completed repair work.,,Compare options after diagnosis and choose what fits your budget and urgency.,,Schedule Sub-Zero service today and get a clear quote before any repair begins.,,sub-zero,freezer-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Price clarity RSA test
SZ_Search_BayArea_Core,Wine Cooler Repair,Responsive search ad,rebuild_v1_primary,Sub-Zero Wine Cooler Repair,,Sub-Zero Service You Trust,,Experienced Fridge Specialists,,Reliable Local Repair Team,,Same-Day Slots Available,,Book Service In 60 Seconds,,Local Sub-Zero Technicians,,Clear Quote After Diagnosis,,Warranty On Completed Repair,,Bay Area Home Visits,,Call Or Book Online,,We Repair Sub-Zero Models,,Trusted Appliance Pros Team,,No Repair Without Approval,,Fast In-Home Diagnostics,,Book Sub-Zero service in under a minute and choose a convenient Bay Area arrival window.,,"Our technician diagnoses first, explains options clearly, and repairs only with approval.",,"Get reliable in-home repair for cooling, ice, leak, and door issues across Bay Area.",,Call now or book online for same-day or next-day Sub-Zero service.,,sub-zero,wine-repair,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,Primary trust-focused RSA
