Campaign,Location,Status,Comment
SZ_Search_BayArea_Core,"San Francisco, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"San Jose, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Oakland, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Palo Alto, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Mountain View, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Sunnyvale, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Santa Clara, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Cupertino, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Redwood City, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"San Mateo, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Berkeley, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Fremont, California, United States",Enabled,Bay Area target
SZ_Search_BayArea_Core,"Walnut Creek, California, United States",Enabled,Bay Area target
