Campaign,Ad Group,Max CPC,Campaign Status,Ad Group Status,Comment
SZ_Search_BayArea_Full_PRO,Appliance Repair Core,35.00,Enabled,Enabled,Intent/Geo cluster: Appliance Repair Core
SZ_Search_BayArea_Full_PRO,Compressor Fan Motor,35.00,Enabled,Enabled,Intent/Geo cluster: Compressor Fan Motor
SZ_Search_BayArea_Full_PRO,Door Ajar Beeping,35.00,Enabled,Enabled,Intent/Geo cluster: Door Ajar Beeping
SZ_Search_BayArea_Full_PRO,Door Gasket Repair,35.00,Enabled,Enabled,Intent/Geo cluster: Door Gasket Repair
SZ_Search_BayArea_Full_PRO,Emergency Same Day,46.00,Enabled,Enabled,Intent/Geo cluster: Emergency Same Day
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,39.00,Enabled,Enabled,Intent/Geo cluster: Freezer Not Freezing
SZ_Search_BayArea_Full_PRO,Freezer Not Working,35.00,Enabled,Enabled,Intent/Geo cluster: Freezer Not Working
SZ_Search_BayArea_Full_PRO,Freezer Repair Core,35.00,Enabled,Enabled,Intent/Geo cluster: Freezer Repair Core
SZ_Search_BayArea_Full_PRO,Freezer Service Core,32.00,Enabled,Enabled,Intent/Geo cluster: Freezer Service Core
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,39.00,Enabled,Enabled,Intent/Geo cluster: Fridge Not Cooling
SZ_Search_BayArea_Full_PRO,Fridge Warm Freezer Cold,35.00,Enabled,Enabled,Intent/Geo cluster: Fridge Warm Freezer Cold
SZ_Search_BayArea_Full_PRO,Geo Alameda Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Alameda Repair
SZ_Search_BayArea_Full_PRO,Geo Belmont Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Belmont Repair
SZ_Search_BayArea_Full_PRO,Geo Berkeley Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Berkeley Repair
SZ_Search_BayArea_Full_PRO,Geo Burlingame Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Burlingame Repair
SZ_Search_BayArea_Full_PRO,Geo Campbell Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Campbell Repair
SZ_Search_BayArea_Full_PRO,Geo CastroValley Rep,38.00,Enabled,Enabled,Intent/Geo cluster: Geo CastroValley Rep
SZ_Search_BayArea_Full_PRO,Geo Concord Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Concord Repair
SZ_Search_BayArea_Full_PRO,Geo Cupertino Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo Cupertino Repair
SZ_Search_BayArea_Full_PRO,Geo DalyCity Repair,38.00,Enabled,Enabled,Intent/Geo cluster: Geo DalyCity Repair
