Campaign,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_Full_PRO,diy,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,how to,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,owner manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,user manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,replacement parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,used parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,wiring diagram,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,schematic,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,forum,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,reddit,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,youtube,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,pdf,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,job,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,jobs,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,career,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,salary,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,training,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,school,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,course,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,internship,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,free,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,cheap,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,wholesale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,amazon,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,ebay,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,home depot,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,lowes,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,craigslist,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,for sale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,used refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,new refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,installation,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,install,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,remove,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,relocate,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,moving,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,cleaning,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,lg refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,samsung refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,whirlpool refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,bosch refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,maytag refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,kitchenaid refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,viking refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_PRO,wolf appliance,Phrase,Campaign negative,Low intent or irrelevant filter
