Campaign,Location,Status,Comment
SZ_Search_BayArea_Full_PRO,"San Francisco County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Mateo County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Santa Clara County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Alameda County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Contra Costa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Marin County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Napa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Sonoma County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Solano County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Francisco, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Jose, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Oakland, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Palo Alto, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Mountain View, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Sunnyvale, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Santa Clara, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Cupertino, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Redwood City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Mateo, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Berkeley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Fremont, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Walnut Creek, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Alameda, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Leandro, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Hayward, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Union City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Pleasanton, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Livermore, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Concord, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Daly City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Bruno, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Millbrae, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Burlingame, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Foster City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Menlo Park, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Los Altos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Los Gatos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Campbell, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Milpitas, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Novato, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"San Rafael, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Richmond, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Emeryville, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Castro Valley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_PRO,"Belmont, California, United States",Enabled,Bay Area full coverage
