Campaign,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_Full_v2,diy,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,how to,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,owner manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,user manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,replacement parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,used parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,wiring diagram,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,schematic,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,forum,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,reddit,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,youtube,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,pdf,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,job,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,jobs,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,career,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,salary,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,training,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,school,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,course,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,internship,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,free,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,cheap,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,wholesale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,amazon,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,ebay,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,home depot,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,lowes,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,craigslist,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,for sale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,used refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,new refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,installation,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,install,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,remove,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,relocate,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,moving,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,cleaning,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,lg refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,samsung refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,whirlpool refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,bosch refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,maytag refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,kitchenaid refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,viking refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Full_v2,wolf appliance,Phrase,Campaign negative,Low intent or irrelevant filter
