Campaign,Location,Status,Comment
SZ_Search_BayArea_Full_v2,"San Francisco County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Mateo County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Santa Clara County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Alameda County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Contra Costa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Marin County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Napa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Sonoma County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Solano County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Francisco, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Jose, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Oakland, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Palo Alto, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Mountain View, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Sunnyvale, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Santa Clara, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Cupertino, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Redwood City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Mateo, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Berkeley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Fremont, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Walnut Creek, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Alameda, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Leandro, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Hayward, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Union City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Pleasanton, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Livermore, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Concord, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Daly City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Bruno, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Millbrae, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Burlingame, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Foster City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Menlo Park, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Los Altos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Los Gatos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Campbell, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Milpitas, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Novato, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"San Rafael, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Richmond, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Emeryville, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Castro Valley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_Full_v2,"Belmont, California, United States",Enabled,Bay Area full coverage
