Campaign,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_ULTRA3000_Broad,diy,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,how to,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,owner manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,user manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,replacement parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,used parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,schematic,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,wiring diagram,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,forum,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,reddit,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,youtube,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,pdf,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,job,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,jobs,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,career,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,salary,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,training,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,school,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,course,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,internship,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,free,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,cheap,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,wholesale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,amazon,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,ebay,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,home depot,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,lowes,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,craigslist,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,for sale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,used refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,new refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,installation,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,install,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,remove,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,relocate,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,moving,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,cleaning,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,wolf appliance,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,lg refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,samsung refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,whirlpool refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,bosch refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,maytag refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,kitchenaid refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_ULTRA3000_Broad,viking refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
