Campaign,Location,Status,Comment
SZ_Search_BayArea_ULTRA3000_Broad,"San Francisco County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Mateo County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Santa Clara County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Alameda County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Contra Costa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Marin County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Napa County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Sonoma County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Solano County, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Francisco, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Jose, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Oakland, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Palo Alto, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Mountain View, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Sunnyvale, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Santa Clara, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Cupertino, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Redwood City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Mateo, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Berkeley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Fremont, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Walnut Creek, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Alameda, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Leandro, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Hayward, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Union City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Pleasanton, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Livermore, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Concord, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Daly City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Bruno, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Millbrae, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Burlingame, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Foster City, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Menlo Park, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Los Altos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Los Gatos, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Campbell, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Milpitas, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Novato, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"San Rafael, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Richmond, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Emeryville, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Castro Valley, California, United States",Enabled,Bay Area full coverage
SZ_Search_BayArea_ULTRA3000_Broad,"Belmont, California, United States",Enabled,Bay Area full coverage
