Campaign,Ad Group,Max CPC,Campaign Status,Ad Group Status,Comment
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,36.00,Enabled,Enabled,Intent/Geo: Core Brand Repair
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Service,36.00,Enabled,Enabled,Intent/Geo: Core Brand Service
SZ_Search_BayArea_ExactPhrase_2026,Core Cost Quote,34.00,Enabled,Enabled,Intent/Geo: Core Cost Quote
SZ_Search_BayArea_ExactPhrase_2026,Core Emergency,48.00,Enabled,Enabled,Intent/Geo: Core Emergency
SZ_Search_BayArea_ExactPhrase_2026,Core Near Me,44.00,Enabled,Enabled,Intent/Geo: Core Near Me
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,36.00,Enabled,Enabled,Intent/Geo: Door Seal Repair
SZ_Search_BayArea_ExactPhrase_2026,Freezer Repair,37.00,Enabled,Enabled,Intent/Geo: Freezer Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Alameda Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Alameda Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Belmont Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Belmont Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Berkeley Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Berkeley Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Burlingame Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Burlingame Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Campbell Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Campbell Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo CastroValley Repair,39.00,Enabled,Enabled,Intent/Geo: Geo CastroValley Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Concord Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Concord Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Cupertino Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Cupertino Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo DalyCity Repair,39.00,Enabled,Enabled,Intent/Geo: Geo DalyCity Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Emeryville Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Emeryville Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo FosterCity Repair,39.00,Enabled,Enabled,Intent/Geo: Geo FosterCity Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Fremont Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Fremont Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Hayward Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Hayward Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Livermore Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Livermore Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo LosAltos Repair,39.00,Enabled,Enabled,Intent/Geo: Geo LosAltos Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo LosGatos Repair,39.00,Enabled,Enabled,Intent/Geo: Geo LosGatos Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo MenloPark Repair,39.00,Enabled,Enabled,Intent/Geo: Geo MenloPark Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Millbrae Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Millbrae Repair
SZ_Search_BayArea_ExactPhrase_2026,Geo Milpitas Repair,39.00,Enabled,Enabled,Intent/Geo: Geo Milpitas Repair
