Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,fix sub zero refrigerator,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Brand Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,fix sub zero refrigerator,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Brand Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,sub zero refrigerator fix,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Brand Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,sub zero refrigerator fix,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Brand Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Core Near Me,sub zero refrigerator repair service near me,Exact,44.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Near Me | Exact
SZ_Search_BayArea_ExactPhrase_2026,Core Near Me,sub zero refrigerator repair service near me,Phrase,44.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Near Me | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator stopped cooling,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator stopped cooling,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Technician Request,sub zero refrigerator technician,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Technician Request | Exact
SZ_Search_BayArea_ExactPhrase_2026,Technician Request,sub zero refrigerator technician,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Technician Request | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Ice Maker Repair,sub zero refrigerator does not make ice,Exact,40.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Repair | Exact
