Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Ad strength,Comment
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,Responsive search ad,deep5000_ctr_urgency,Sub-Zero Repair Service,1,subzero repair,,Emergency Slots Open,,Same Day Service Available,,Call Now Book In 60 Sec,,Technician Arrives Today,,Fast In-Home Diagnosis,,Bay Area Local Team,,Stop Cooling Problems Fast,,Priority Service Window,,No Repair Without Approval,,Upfront Quote Before Repair,,Warranty On Repair Work,,Book Online Or Call Now,,Sub-Zero Repair Experts,,Need help now? Book same-day service for Sub-Zero repair and get a confirmed arrival,,"Local tech diagnoses fast, explains options, and repairs only after your approval.",,"We fix cooling, leak, freezer, ice maker, and temperature issues across Bay Area.",,Call now or book online in under a minute to secure the next priority slot.,,sub-zero,core-brand-repa,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: urgency + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,Responsive search ad,deep5000_ctr_trust,Sub-Zero Repair Service,1,subzero repair,,Trusted Bay Area Service,,Local Sub-Zero Specialists,,Licensed Insured Tech Team,,Clear Diagnosis First,,Transparent Repair Process,,No Hidden Repair Surprises,,Repair With Your Approval,,Warranty On Completed Work,,Book Online Or By Phone,,Experienced Home Technicians,,Flexible Arrival Windows,,Reliable Long Lasting Repair,,Sub-Zero Appliance Repair,,Trusted Sub-Zero specialists with accurate diagnosis for Sub-Zero repair and long-lasting,,You get a clear quote before work starts and approve every repair step.,,"From fridge and freezer faults to leaks and ice issues, we cover major failures.",,Choose a convenient arrival window and get support from first call to final test.,,sub-zero,core-brand-repa,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: trust + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Repair,Responsive search ad,deep5000_ctr_value,Sub-Zero Repair Service,1,subzero repair,,Upfront Pricing No Surprises,,Repair Cost Quote First,,Same Day Or Next Day Slots,,Book Service In 60 Seconds,,Fix It Before It Gets Worse,,Priority Appointment Options,,No Repair Without Your OK,,Honest Repair Recommendations,,Clear Scope Before Work,,Call Now For Priority Slot,,Sub-Zero Service Near You,,Schedule Today Save Time,,Fast Local Bay Area Response,,Get fast diagnosis and upfront pricing for Sub-Zero repair before damage gets worse.,,Same-day or next-day appointments across Bay Area with transparent service rates.,,"We repair cooling, freezer, leak, and ice maker problems in one service flow.",,Call now for a priority slot or book online in under 60 seconds.,,sub-zero,core-brand-repa,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: value + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Service,Responsive search ad,deep5000_ctr_urgency,Sub-Zero Service Experts,1,subzero service,,Emergency Slots Open,,Same Day Service Available,,Call Now Book In 60 Sec,,Technician Arrives Today,,Fast In-Home Diagnosis,,Bay Area Local Team,,Stop Cooling Problems Fast,,Priority Service Window,,No Repair Without Approval,,Upfront Quote Before Repair,,Warranty On Repair Work,,Book Online Or Call Now,,Sub-Zero Repair Experts,,Need help now? Book same-day service for Sub-Zero service and get a confirmed arrival,,"Local tech diagnoses fast, explains options, and repairs only after your approval.",,"We fix cooling, leak, freezer, ice maker, and temperature issues across Bay Area.",,Call now or book online in under a minute to secure the next priority slot.,,sub-zero,core-brand-serv,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: urgency + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Service,Responsive search ad,deep5000_ctr_trust,Sub-Zero Service Experts,1,subzero service,,Trusted Bay Area Service,,Local Sub-Zero Specialists,,Licensed Insured Tech Team,,Clear Diagnosis First,,Transparent Repair Process,,No Hidden Repair Surprises,,Repair With Your Approval,,Warranty On Completed Work,,Book Online Or By Phone,,Experienced Home Technicians,,Flexible Arrival Windows,,Reliable Long Lasting Repair,,Sub-Zero Service Near You,,Trusted Sub-Zero specialists with accurate diagnosis for Sub-Zero service and,,You get a clear quote before work starts and approve every repair step.,,"From fridge and freezer faults to leaks and ice issues, we cover major failures.",,Choose a convenient arrival window and get support from first call to final test.,,sub-zero,core-brand-serv,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: trust + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Brand Service,Responsive search ad,deep5000_ctr_value,Sub-Zero Service Experts,1,subzero service,,Upfront Pricing No Surprises,,Repair Cost Quote First,,Same Day Or Next Day Slots,,Book Service In 60 Seconds,,Fix It Before It Gets Worse,,Priority Appointment Options,,No Repair Without Your OK,,Honest Repair Recommendations,,Clear Scope Before Work,,Call Now For Priority Slot,,Sub-Zero Service Near You,,Schedule Today Save Time,,Fast Local Bay Area Response,,Get fast diagnosis and upfront pricing for Sub-Zero service before damage gets worse.,,Same-day or next-day appointments across Bay Area with transparent service rates.,,"We repair cooling, freezer, leak, and ice maker problems in one service flow.",,Call now for a priority slot or book online in under 60 seconds.,,sub-zero,core-brand-serv,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: value + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Cost Quote,Responsive search ad,deep5000_ctr_urgency,Sub-Zero Repair Cost Quote,1,subzero repair cost,,Emergency Slots Open,,Same Day Service Available,,Call Now Book In 60 Sec,,Technician Arrives Today,,Fast In-Home Diagnosis,,Bay Area Local Team,,Stop Cooling Problems Fast,,Priority Service Window,,No Repair Without Approval,,Upfront Quote Before Repair,,Warranty On Repair Work,,Book Online Or Call Now,,Sub-Zero Repair Experts,,Need help now? Book same-day service for clear repair pricing and get a confirmed arrival,,"Local tech diagnoses fast, explains options, and repairs only after your approval.",,"We fix cooling, leak, freezer, ice maker, and temperature issues across Bay Area.",,Call now or book online in under a minute to secure the next priority slot.,,sub-zero,core-cost-quote,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: urgency + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Cost Quote,Responsive search ad,deep5000_ctr_trust,Sub-Zero Repair Cost Quote,1,subzero repair cost,,Trusted Bay Area Service,,Local Sub-Zero Specialists,,Licensed Insured Tech Team,,Clear Diagnosis First,,Transparent Repair Process,,No Hidden Repair Surprises,,Repair With Your Approval,,Warranty On Completed Work,,Book Online Or By Phone,,Experienced Home Technicians,,Flexible Arrival Windows,,Reliable Long Lasting Repair,,Sub-Zero Repair Estimate,,Trusted Sub-Zero specialists with accurate diagnosis for clear repair pricing and,,You get a clear quote before work starts and approve every repair step.,,"From fridge and freezer faults to leaks and ice issues, we cover major failures.",,Choose a convenient arrival window and get support from first call to final test.,,sub-zero,core-cost-quote,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: trust + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Cost Quote,Responsive search ad,deep5000_ctr_value,Sub-Zero Repair Cost Quote,1,subzero repair cost,,Upfront Pricing No Surprises,,Repair Cost Quote First,,Same Day Or Next Day Slots,,Book Service In 60 Seconds,,Fix It Before It Gets Worse,,Priority Appointment Options,,No Repair Without Your OK,,Honest Repair Recommendations,,Clear Scope Before Work,,Call Now For Priority Slot,,Sub-Zero Service Near You,,Schedule Today Save Time,,Fast Local Bay Area Response,,Get fast diagnosis and upfront pricing for clear repair pricing before damage gets worse.,,Same-day or next-day appointments across Bay Area with transparent service rates.,,"We repair cooling, freezer, leak, and ice maker problems in one service flow.",,Call now for a priority slot or book online in under 60 seconds.,,sub-zero,core-cost-quote,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: value + keyword relevance
SZ_Search_BayArea_ExactPhrase_2026,Core Emergency,Responsive search ad,deep5000_ctr_urgency,Emergency Sub-Zero Repair,1,subzero same day repair,,Emergency Slots Open,,Same Day Service Available,,Call Now Book In 60 Sec,,Technician Arrives Today,,Fast In-Home Diagnosis,,Bay Area Local Team,,Stop Cooling Problems Fast,,Priority Service Window,,No Repair Without Approval,,Upfront Quote Before Repair,,Warranty On Repair Work,,Book Online Or Call Now,,Sub-Zero Repair Experts,,Need help now? Book same-day service for urgent Sub-Zero issues and get a confirmed,,"Local tech diagnoses fast, explains options, and repairs only after your approval.",,"We fix cooling, leak, freezer, ice maker, and temperature issues across Bay Area.",,Call now or book online in under a minute to secure the next priority slot.,,sub-zero,core-emergency,https://appliancepros.netlify.app/subzero/,,,,,Enabled,Enabled,Enabled,,,CTR/CVR variant: urgency + keyword relevance
