Campaign,Ad Group,Max CPC,Campaign Status,Ad Group Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Francisco Repair,42.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Jose Repair,42.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Oakland Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Palo Alto Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Mountain View Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Sunnyvale Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo San Mateo Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Redwood City Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Santa Clara Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Geo Fremont Repair,41.00,Enabled,Enabled,Hyper-segmentation: geo | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Wine Cooler Repair,37.00,Enabled,Enabled,Hyper-segmentation: wine | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Wine Cooler Service,36.00,Enabled,Enabled,Hyper-segmentation: wine | service
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Wine Cooler Not Cooling,39.00,Enabled,Enabled,Hyper-segmentation: wine | not_cooling
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Wine Cooler Not Working,39.00,Enabled,Enabled,Hyper-segmentation: wine | not_working
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice Maker Repair,41.00,Enabled,Enabled,Hyper-segmentation: ice | repair
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice Maker Service,39.00,Enabled,Enabled,Hyper-segmentation: ice | service
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice Maker Near Me,42.00,Enabled,Enabled,Hyper-segmentation: ice | near_me
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice Maker Technician,40.00,Enabled,Enabled,Hyper-segmentation: ice | technician
