Campaign,Link text,Final URL,Description line 1,Description line 2,Campaign Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Book Service,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=book-service,Pick a time window,Fast SMS confirmation,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Same-Day Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=same-day,Limited same-day slots,Fast local response,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Emergency Service,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=emergency,Urgent service requests,Priority scheduling,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Refrigerator Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=refrigerator,Cooling and temp issues,Sub-Zero focused,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Fridge Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=fridge,Fridge not cooling help,Fast diagnostics,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Freezer Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=freezer,Not freezing or warm,Professional service,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice Maker Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=ice-maker,No ice or leaking,System diagnostics,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Wine Cooler Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=wine-cooler,Wine unit cooling issues,Specialized support,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Not Cooling Fix,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=not-cooling,Stop food loss fast,Book priority service,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Not Freezing Help,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=not-freezing,Freezing performance fix,Experienced techs,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Leak Repair,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=leak-repair,Water leak diagnostics,Prevent repeat failures,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Error Code Help,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=error-code,Fault code diagnostics,Clear repair path,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Technician Visit,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=technician,Insured local techs,Clear on-site diagnosis,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Bay Area Coverage,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=bay-area,Service across Bay Area,Fast scheduling,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,San Francisco Service,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=san-francisco,Local SF appointments,Sub-Zero repairs,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,San Jose Service,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=san-jose,Local SJ appointments,Priority booking,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,180-Day Warranty,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=warranty,Labor and parts cover,On installed parts,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,$99 Fee Credited,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=service-fee,$99 credited if proceed,After approved repair,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Independent Service,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=independent,Not manufacturer affiliated,Transparent process,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Call Now,https://appliance-pros.netlify.app/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper12000&utm_content=call-now,Speak with support,Quick scheduling help,Enabled,Enabled,Campaign sitelink
