Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service san francisco ca,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service san francisco ca,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service in san francisco ca,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero service in san francisco ca,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero appliance repair san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero appliance repair san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero repair san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero repair san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero appliance repair,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero appliance repair,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero repair in san francisco ca,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero repair in san francisco ca,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator repair,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator repair,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair in san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair in san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator service san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator service san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator service,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator service,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator service in san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator service in san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair service san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair service san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator repair service,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator repair service,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair service in san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator repair service in san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator technician san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator technician san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator technician,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator technician,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator technician in san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator technician in san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator same day repair san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator same day repair san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator same day repair,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,san francisco sub zero refrigerator same day repair,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator same day repair in san francisco,Exact,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Exact
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,sub zero refrigerator same day repair in san francisco,Phrase,42.00,https://my-appliance-repair.pro/subzero/,Enabled,Enabled,Enabled,Geo San Francisco Repair | Phrase
