Campaign,Ad Group,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,door,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,gasket,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,seal,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,hinge,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,handle,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,parts,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,manual,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,how to,Phrase,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,diy,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,buy,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Francisco Repair,for sale,Phrase,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Jose Repair,door,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Jose Repair,gasket,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Jose Repair,seal,Broad,Ad group negative,Intent/appliance separation
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Geo San Jose Repair,hinge,Broad,Ad group negative,Intent/appliance separation
