Campaign,Link text,Final URL,Description line 1,Description line 2,Campaign Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Book Service,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=book-service,Pick a time window,Fast SMS confirmation,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Same-Day Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=same-day,Limited same-day slots,Fast local response,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Service,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=emergency,Urgent service requests,Priority scheduling,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Refrigerator Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=refrigerator,Cooling and temp issues,Sub-Zero focused,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Fridge Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=fridge,Fridge not cooling help,Fast diagnostics,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Freezer Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=freezer,Not freezing or warm,Professional service,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Ice Maker Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=ice-maker,No ice or leaking,System diagnostics,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Wine Cooler Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=wine-cooler,Wine unit cooling issues,Specialized support,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Not Cooling Fix,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=not-cooling,Stop food loss fast,Book priority service,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Not Freezing Help,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=not-freezing,Freezing performance fix,Experienced techs,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Leak Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=leak-repair,Water leak diagnostics,Prevent repeat failures,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Error Code Help,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=error-code,Fault code diagnostics,Clear repair path,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Technician Visit,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=technician,Insured local techs,Clear on-site diagnosis,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Bay Area Coverage,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=bay-area,Service across Bay Area,Fast scheduling,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,San Francisco Service,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=san-francisco,Local SF appointments,Sub-Zero repairs,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,San Jose Service,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=san-jose,Local SJ appointments,Priority booking,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,180-Day Warranty,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=warranty,Labor and parts cover,On installed parts,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,$99 Fee Credited,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=service-fee,$99 credited if proceed,After approved repair,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Independent Service,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=independent,Not manufacturer affiliated,Transparent process,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Call Now,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=call-now,Speak with support,Quick scheduling help,Enabled,Enabled,Campaign sitelink
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Today Appointments,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=today-appointments,Book today service slot,Fast confirmation flow,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Requests,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=emergency-requests,Urgent repair priority,Rapid response window,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Service Call Details,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=service-call,$99 call credited on repair,No work before approval,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Ice System Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=ice-system,Ice maker and dispenser,Targeted diagnostics,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Leak & Water Issues,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=water-leak,Leak source diagnostics,Prevent repeat damage,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Book by Phone,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3&utm_content=phone-booking,Speak with support now,Quick scheduling help,Enabled,Enabled,Campaign sitelink v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Today Service Slots,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=today-slots,Book today if available,Fast schedule confirmation,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Qualified Tech Visit,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=qualified-tech,Insured local technician,Clear diagnostic process,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Diagnosis & Approval,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=diagnosis-approval,No work without approval,Transparent next steps,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Cooling Problem Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=cooling-problem,Fix not cooling issues,Priority response options,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Freezing Problem Repair,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=freezing-problem,Fix not freezing issues,Book service quickly,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Local Bay Area Cities,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=bay-area-cities,Coverage across key cities,Fast local response,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Booking,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=emergency-booking,Urgent repair requests,Priority scheduling flow,Enabled,Enabled,Campaign sitelink v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Service Warranty Info,https://my-appliance-repair.pro/subzero/?utm_source=google&utm_medium=search&utm_campaign=hyper15000_v3_qsplus&utm_content=warranty-info,180-day labor + parts,Coverage on installed parts,Enabled,Enabled,Campaign sitelink v3+ quality
