Campaign,Callout text,Campaign Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Same-Day Slots,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Next-Day Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Fast SMS Confirm,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Insured Technicians,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Independent Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,180-Day Warranty,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,$99 Fee Credited,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,No Hidden Add-Ons,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,No Work Without OK,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Clear Diagnosis,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Bay Area Coverage,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Local Service Team,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Sub-Zero Specialists,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Availability,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,High-Intent Repairs,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Cooling Issue Experts,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Ice System Repairs,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Leak Diagnostics,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Error Code Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Short Booking Flow,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Today Appointments,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Response,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Service Call First,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Quote After Diagnosis,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,No Surprise Charges,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Fast Lead Response,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Phone & Online Booking,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Local Bay Area Team,Enabled,Enabled,Campaign callout v3
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Priority Same-Day Slots,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Emergency Request Flow,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Qualified Repair Focus,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Transparent Approval Step,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Fast Lead Response Team,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Accurate On-Site Diagnosi,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,No Work Without Consent,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,High-Intent Booking Flow,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Focused Sub-Zero Repairs,Enabled,Enabled,Campaign callout v3+ quality
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,Bay Area Local Coverage,Enabled,Enabled,Campaign callout v3+ quality
