Campaign,Location,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Francisco County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Mateo County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Santa Clara County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Alameda County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Contra Costa County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Marin County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Napa County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Sonoma County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Solano County, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Francisco, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Jose, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Oakland, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Palo Alto, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Mountain View, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Sunnyvale, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Santa Clara, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Cupertino, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Redwood City, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Mateo, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Berkeley, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Fremont, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Walnut Creek, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Alameda, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Leandro, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Hayward, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Union City, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Pleasanton, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Livermore, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Concord, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Daly City, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Bruno, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Millbrae, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Burlingame, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Foster City, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Menlo Park, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Los Altos, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Los Gatos, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Campbell, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Milpitas, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Novato, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"San Rafael, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Richmond, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Emeryville, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Castro Valley, California, United States",Enabled,Bay Area v3 coverage
SZ_Search_BayArea_Hyper_ExactPhrase_2026_v3,"Belmont, California, United States",Enabled,Bay Area v3 coverage
